城市,拼音,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,abazhou,21,12,20,0.47,8,15,37,5
阿克苏地区,akesudiqu,73,30,94,0.35,44,64,90,6
阿拉善盟,alashanmeng,66,25,39,0.47,14,98,117,9
阿勒泰地区,aletaidiqu,27,6,11,1.15,20,28,53,15
阿里地区,alidiqu,57,4,9,0.45,6,108,107,3
安康,ankang,23,3,5,0.8,11,34,45,4
安庆,anqing,43,24,42,0.54,19,50,70,5
鞍山,anshan,108,80,158,1.6,44,63,102,10
安顺,anshun,20,5,9,0.4,12,27,38,4
安阳,anyang,51,34,50,1.96,37,34,32,21
白城,baicheng,53,24,53,0.35,11,58,74,3
百色,baise,41,13,40,1.2,24,11,40,9
白山,baishan,66,28,79,1.25,43,22,74,10
白银,baiyin,49,21,46,1.0,50,53,96,11
保定,baoding,91,67,98,0.82,62,20,55,6
宝鸡,baoji,51,12,50,0.89,35,9,33,4
保山,baoshan,20,6,17,0.45,8,17,38,5
包头,baotou,70,25,87,1.18,108,7,76,16
巴彦淖尔,bayannaoer,170,60,288,0.3,16,76,113,4
巴中,bazhong,27,12,26,0.83,18,27,46,3
北海,beihai,34,15,33,0.78,14,46,57,6
北京,beijing,66,32,80,0.82,73,18,33,2
蚌埠,bengbu,48,28,43,0.58,28,56,95,11
本溪,benxi,59,29,66,1.17,45,23,58,10
毕节,bijie,31,13,24,0.9,17,37,60,7
滨州,binzhou,42,22,23,0.9,20,65,82,4
博州,boertala,35,6,28,0.35,18,56,69,3
亳州,bozhou,35,19,34,1.45,17,26,35,9
沧州,cangzhou,63,44,52,0.6,27,78,80,8
长春,changchun,74,32,96,0.96,78,15,57,5
常德,changde,46,24,45,0.98,45,18,47,10
昌都,changdou,51,18,50,0.6,23,53,79,2
昌都地区,changdudiqu,29,6,12,0.7,11,86,57,8
昌吉州,changjizhou,44,23,43,1.2,35,46,80,9
长沙,changsha,49,15,48,0.62,41,39,73,8
常熟,changshu,56,19,35,0.75,63,37,106,12
长治,changzhi,29,9,16,1.48,13,52,56,6
常州,changzhou,46,29,45,0.91,73,18,71,11
朝阳,chaoyang,110,82,134,1.7,57,88,143,19
潮州,chaozhou,78,29,41,0.9,14,99,132,11
承德,chengde,50,19,49,0.82,49,13,44,6
成都,chengdu,35,18,32,0.8,39,38,69,8
郴州,chenzhou,39,11,31,1.14,30,32,76,7
赤峰,chifeng,84,27,115,0.9,70,43,67,16
池州,chizhou,36,22,35,0.47,25,43,70,11
重庆,chongqing,69,43,77,0.97,62,61,121,8
